name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Bison1,NA,C19.8H39.5N0.0111O1.28,aq,thermofunc,NA,11/1/2017,-7779.976702,-165548.151,146.4984739,395.8124134,319.0401689,63.80555059,46.10163829,88.93901133,-32.92823596,387.7236698,3.283517918,-0.153732635,0
Bison2,NA,C19.4H38.6N0.0164O1.42,aq,thermofunc,NA,11/1/2017,-15764.06218,-169001.8554,150.6433519,388.9181003,312.421111,62.54138589,44.99089673,86.61967175,-32.1221066,381.0372349,3.196354548,-0.150394492,0
Bison3,NA,C18H35.5N0.0236O1.73,aq,thermofunc,NA,11/1/2017,-36975.25888,-177535.1215,150.598024,361.4238443,291.4375039,58.49094442,41.58047606,79.53853942,-29.63864688,354.1030176,2.960983448,-0.141521918,0
Bison4,NA,C17.3H34.7N0.015O1.55,aq,thermofunc,NA,11/1/2017,-28442.86243,-165284.8086,145.0044972,350.8408951,280.6913421,56.4263847,39.80865999,75.87279014,-28.35557813,343.8761297,2.81093124,-0.135970915,0
Bison5,NA,C16.9H33N0.00259O1.81,aq,thermofunc,NA,11/1/2017,-42450.20601,-172145.9528,147.9659949,338.3404925,272.5637469,54.81634143,38.59431396,73.37821069,-27.45997611,331.4703544,2.771000633,-0.134507269,0
Bison6,NA,C16.7H31.8N0.0033O1.96,aq,thermofunc,NA,11/1/2017,-44937.70174,-169183.7542,150.9237141,329.8840903,265.7184936,53.74078982,36.84549377,69.73712296,-26.28893008,324.2365045,2.25317335,-0.11602474,0
Mound OF1,NA,C19.99939H41.998068289092O1.00010126515399,aq,GB,NA,NA,-1419.696586,-170153.5437,141.8882345,431.7581165,336.0858592,65.99622766,51.71733401,101.1818695,-36.69045997,419.6658267,4.939203585,-0.223095721,0
Mound OF2,NA,C19.2551933684103H39.9248181019215O1.07507104228374N0.0559163018162421,aq,GB,NA,NA,-5316.08735,-164900.403,142.2960376,412.9344501,321.8143355,63.57095406,48.54053207,94.35583255,-34.45931204,402.1549361,4.401324031,-0.199242927,0
Mound OF3,NA,C17.7881092085672H36.1612176453663O1.31981797591973N0.0154493074453481,aq,GB,NA,NA,-18542.14944,-163021.2349,137.2453177,379.8276368,297.0030728,59.02086071,43.88527992,84.51125205,-31.12643576,370.3600175,3.85880985,-0.176508044,0
Mound OF4,NA,C17.2712095446917H34.1349165782098O1.7834690323984N0.00465660507441923,aq,GB,NA,NA,-45479.64361,-181865.941,143.1553924,363.7793092,288.5972659,57.72754313,41.66278538,79.80308517,-29.62313408,355.7486772,3.259162888,-0.152797002,0
Mound OF5,NA,C16.7295242020268H31.5240163387763O1.94738816591861N0.00216022991749739,aq,GB,NA,NA,-45595.45204,-170350.6942,144.6111714,345.4687148,272.8118938,55.01252884,38.23345389,72.64829902,-27.25686327,339.2045133,2.514793487,-0.125248594,0
Empress OF1,NA,C19.7141274182482H41.3554469908708O1.01321453408871N0.000587418248233589,aq,GB,NA,NA,-2479.874882,-168584.5489,140.6145071,425.6385692,331.3712304,65.12569637,50.84814653,99.32558311,-36.06178958,413.7338603,4.862663833,-0.219617467,0
Empress OF2,NA,C18.5866125258972H38.2657173990296O1.16572793246749N0.0350076992726727,aq,GB,NA,NA,-10245.44729,-163164.8999,139.567163,398.1740908,310.5473765,61.48681421,46.47312309,89.97622971,-32.9709738,387.9017186,4.192179821,-0.190327083,0
Empress OF3,NA,C18.6425828585729H38.3685342738504O1.27729920800169N0.0108139509714372,aq,GB,NA,NA,-17845.8398,-171492.3757,140.9922804,399.6149962,312.823856,61.9001502,46.91102433,90.90438873,-33.28349698,389.20977,4.247039727,-0.192647026,0
Empress OF4,NA,C17.488840071817H34.7338750230666O1.65198311071061N0.00575211804039411,aq,GB,NA,NA,-37429.33883,-175832.6881,142.8440391,369.0853695,291.2642801,58.10578111,42.45142673,81.47435707,-30.14836658,360.4701699,3.503759985,-0.16229704,0
Empress OF5,NA,C16.8195702703821H32.5276340204701O1.77131523989548N0.000553495576947222,aq,GB,NA,NA,-40774.59404,-169646.4003,142.2472645,350.8430811,276.8551648,55.46547877,39.74227869,75.82096534,-28.22750107,343.154878,3.115472635,-0.147322451,0
Octopus OF1,NA,C20.5085307931512H42.0463829501867O1.25336928386597N0.00303001402910701,aq,GB,NA,NA,-10846.81131,-179067.5049,151.3409563,438.1692372,341.4348784,67.37237123,51.69344138,101.0074664,-36.78558393,427.1465678,4.501337208,-0.203575884,0
Octopus OF2,NA,C17.4970958350339H35.2256086668343O1.56173273996605N0.00851462378008418,aq,GB,NA,NA,-34080.18661,-174982.0477,140.0053375,371.7248406,293.2576413,58.43183596,42.92814497,82.48128468,-30.47509147,362.8410983,3.615823798,-0.166727621,0
